,year,company_name,number_of_single_use_plastic_bags_issued,gross_proceeds_of_charge,vat,costs_deducted,cost_of_changing_till_systems,cost_of_staff_communications,cost_of_customer_communications,cost_of_obtaining_advice_on_charge,cost_of_administering_donations,other_costs_associated_with_implementing_charge,net_proceeds,amount_donated_to_good_causes,number_of_paper_bags_issued,number_of_bags_for_life_issued,number_of_fabric_bags_issued,number_of_other_bags_issued,difference_between_donations_and_proceeds,charity/voluntary,local_causes,health,arts_heritage,sports,education,environment,unknown
899,2019-20,TRAVIS PERKINS PLC,247133,12356.65,2059.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10297.210000000001,9885.32,,,,,-411.89000000000124,0,1,1,0,0,0,1,0
900,2019-20,UNIVERSITY OF EXETER,28357,2416.4,402.73,50.0,0.0,0.0,0.0,0.0,50.0,0.0,1963.67,,,,,,,0,0,0,0,0,0,0,1
901,2019-20,UNIVERSITY OF KEELE,12333,616.65,102.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.8700000000001,,,,,,,0,0,0,0,0,0,0,1
902,2019-20,UNIVERSITY OF WARWICK,62854,3142.7,523.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2618.92,,,,,,,0,0,0,0,0,0,0,1
903,2019-20,VODAFONE LTD,63,3.15,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,2.62,,,,,0.0,1,0,0,0,0,0,0,0
904,2019-20,VOLKSWAGEN GROUP UK LTD ,4551,455.1,75.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.25,,,,,,,0,0,0,0,0,0,0,1
905,2019-20,W WING YIP & BROTHERS TRADING GROUP LTD,317645,15882.25,2647.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13235.21,,,,,,,0,0,0,0,0,0,0,1
906,2019-20,WAITROSE LTD,9151408,457570.4,76261.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381308.67000000004,381308.67,,,,,-5.820766091346741e-11,1,1,1,0,0,0,1,0
907,2019-20,WAREMOSS LTD,10470,523.5,87.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.25,436.25,,,,,0.0,1,0,1,0,0,0,0,0
908,2019-20,WARNER BROS. STUDIOS LEAVESDEN LTD.,352489,17624.45,2937.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14687.04,14687.0,,,35527.0,,-0.040000000000873115,1,1,0,0,0,0,1,0
909,2019-20,WARREN JAMES JEWELLERS LTD,12389,619.45,103.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.21,,,,,,,0,0,0,0,0,0,0,1
910,2019-20,WARRENS BAKERY LIMITED,20943,1047.15,174.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.6200000000001,,,,,,,0,0,0,0,0,0,0,1
911,2019-20,WATERFIELDS LEIGH LTD,180782,9039.1,1506.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7532.58,,,,,,,0,0,0,0,0,0,0,1
912,2019-20,WATFORD ASSOCIATION FOOTBALL CLUB,7460,373.0,62.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.83,310.83,,,,,0.0,0,0,1,0,0,0,0,0
913,2019-20,WELCOME BREAK GROUP LIMITED,114414,5720.7,953.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4767.250000000001,4767.25,,,,,-9.094947017729282e-13,1,0,0,0,0,0,0,0
914,2019-20,WELCOME FRESH,893,44.65,7.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.21000000000001,,,,,,,0,0,0,0,0,0,0,1
915,2019-20,WH SMITH PLC,563274,28839.9,4806.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24033.25,,,,,,,0,0,0,0,0,0,0,1
916,2019-20,WILDFOWL & WETLANDS TRUST (TRADING) LTD,2918,158.89,26.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.41,,,,,,,0,0,0,0,0,0,0,1
917,2019-20,WILKO RETAIL LIMITED,14308018,715400.9,119233.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596167.42,596167.42,,,,,0.0,1,0,0,0,0,0,0,0
918,2019-20,WILLIAM STRIKE LTD,72637,3631.85,605.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3026.5400000000004,,,,,,,0,0,0,0,0,0,0,1
919,2019-20,WM MORRISON SUPERMARKETS PLC,55449507,2772475.35,174394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2598081.35,314373.0,,,,,-2283708.35,1,0,0,0,0,0,0,0
920,2019-20,WOBURN ENTERPRISES PARTNERSHIP,2220,111.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,92.5,,,,,0.0,1,0,0,0,0,0,0,0
921,2019-20,WOODTHORPE HALL GARDEN CENTRES LIMITED,48878,2968.1,494.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2473.4200000000005,,,,,,,0,0,0,0,0,0,0,1
922,2019-20,WRIGHTS PIES (SHELTON) LTD,83478,4173.9,695.65,50.0,0.0,0.0,50.0,0.0,0.0,0.0,3428.2500000000005,3478.24,,,,,49.98999999999933,1,0,0,0,0,0,0,0
923,2019-20,YESSS (A) ELECTRICAL LTD,243750,12187.5,2031.25,500.0,0.0,0.0,0.0,0.0,500.0,0.0,9656.25,,,,,,,0,0,0,0,0,0,0,1
924,2019-20,YTC LTD,385785,19289.25,3214.88,400.0,0.0,225.0,150.0,0.0,25.0,0.0,15674.369999999999,,,,,,,0,0,0,0,0,0,0,1
925,2020-21,ALDI STORES LTD,32098119,1604905.95,267484.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337421.6199999999,,,,,,,0,0,0,0,0,0,0,1
926,2020-21,ARCHANT COMMUNITY MEDIA LIMITED,87373,4368.65,728.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3640.5399999999995,,,,,,,0,0,0,0,0,0,0,1
